Cislo,Lokalita,Doplnky,Status,Vykon,Rozpocet,Celkova_cena_bez_DPH,Zdroj,Prvni_poptavka,Odeslana_nabidka,Odeslani_zadosti,Uzavreni_smlouvy_o_dilo,Datum_prvni_zalohy,Prvni_zaloha,Datum_prvni_uhrady,Zahajeni_stavby,Ukonceni_stavby,Datum_druhe_zalohy,Druha_zaloha,Datum_druhe_uhrady,Datum_revize,Zadost_o_PPP,PPP,Datum_predani,Datum_treti_zalohy,Treti_zaloha,Datum_treti_uhrady,Podani_zadosti_o_dotaci
95,Skalice,SK,Odlozeno,9.9,247800.00,312865.00,Interni,24/01/2022,01/01/2020,,,, 215876.85 ,,,,, 107938.43 ,,,,,,, 35979.48 ,,
96,Ivančice,,Nerealizovano,7.2,326000.00,398905.00,Interni,18/01/2022,09/02/2022,,,, 275244.45 ,,,,, 137622.23 ,,,,,,, 45874.08 ,,
97,Prušánky,,Nerealizovano,5.4 kWh,260000.00,454932.00,Externi,24/01/2022,09/02/2022,,,, 313903.08 ,,,,, 156951.54 ,,,,,,, 52317.18 ,,
98,Rohatec,ET,Ukonceno,6.9,321800.00,393085.00,Interni,18/01/2022,28/01/2022,14/02/2022,11/02/2022,17/02/2022, 271228.65 ,18/02/2022,29/03/2022,19/07/2022,02/08/2022, 135614.33 ,03/08/2022,22/07/2022,01/08/2022,10.11.2022,,,45205.00,,
99,Lužice,,Pripojeni,3.68,189700.00,233510.00,Interni,25/01/2022,01/02/2022,18/02/2022,23/02/2022,23/02/2022, 161121.90 ,01/03/2022,28/03/2022,01/06/2022,17/05/2022, 80560.95 ,26/06/2022,27/05/2022,13/06/2022,,,14/11/2022, 26853.65 ,,
100,Ostrava,,Ukonceno,5.52,312700.00,369538.00,Interni,26/01/2022,14/02/2022,22/03/2022,17/03/2022,17/03/2022, 254981.22 ,22/03/2022,09/05/2022,21/06/2022,21/06/2022, 127490.61 ,28/06/2022,03/06/2022,28/06/2022,01.08.2022,01/08/2022,02/08/2022, 42496.87 ,03/08/2022,16/09/2022
101,Kopřivnice,,Nerealizovano,9.9,373881.00,477370.00,Interni,20/01/2022,25/01/2022,,,, 329385.30 ,,,, , 164692.65 ,,,,,,, 54897.55 ,,
102,Kostelec u Kyjova,,Nerealizovano,baterie,,,Externi,21/01/2022,,,,, - ,,,,, - ,,,,,,, - ,,
103,,,Nerealizovano,,,,Externi,22/01/2022,,,,, - ,,,,, - ,,,,,,, - ,,
104,Pohořelice,,Nerealizovano,8.1,336000.00,414777.00,Externi,24/01/2022,01/02/2022,,,, 286196.13 ,,,,, 143098.07 ,,,,,,, 47699.36 ,,
105,Vlčnov,,Nerealizovano,7.2,326000.00,398905.00,Interni,26/01/2022,04/02/2022,,,, 275244.45 ,,,,, 137622.23 ,,,,,,, 45874.08 ,,
106,,,Nerealizovano,,,,Interni,26/01/2022,,,,, - ,,,,, - ,,,,,,, - ,,
107,Podolí u Brna,,Nerealizovano,5.06kWp,294175.00,369650.00,Externi,27/01/2022,07/06/2022,,,, 255058.50 ,,,,, 127529.25 ,,,,,,, 42509.75 ,,
108,Mikulčice,"JG, IK",Ukonceno,8.28,398200.00,471830.00,Interni,27/01/2022,01/02/2022,26/04/2022,24/02/2022,24/02/2022, 325562.70 ,25/02/2022,16/05/2022,20/05/2022,23/05/2022, 162781.35 ,27/05/2022,24/05/2022,02/06/2022,mikrozdroj,17/06/2022,17/06/2022, 54261.00 ,17/06/2022,19/07/2022
109,Horní Bojanovice,,Pripojeni,8.28,400200.00,473530.00,Interni,27/01/2022,01/02/2022,24/02/2022,24/02/2022,24/02/2022, 326735.70 ,25/02/2022,04/04/2022,,05/05/2022, 163368.00 ,11/05/2022,09/05/2022,03/06/2022,31.01.2023,,, 54456.00 ,,
